run_id,stage,top_n,lookback_days,min_amount,max_weight_per_stock,dividend_weight,volatility_weight,value_weight,total_return,annual_return,max_drawdown,sharpe,turnover,trade_count,status,error,elapsed_sec
133,A,5,180,50000.0,,0.7,0.2,0.1,1.511338973953532,0.21120399738431006,-0.14337410736407208,1.3370061877618213,46.669775569984516,393,ok,,3.730884
134,A,5,180,50000.0,,0.5,0.3,0.2,1.255325101857232,0.1844048325330736,-0.10304803273257568,1.3333373951493999,41.64906127799754,373,ok,,3.506625
135,A,5,180,50000.0,,0.6,0.2,0.2,1.3683492490322204,0.19651830204684773,-0.12261890146584886,1.3240264446408536,44.3018175283421,385,ok,,3.657041
136,B,5,120,50000.0,0.25,0.6,0.3,0.1,2.0630922853017757,0.26231068894607534,-0.10055243581426454,1.7473948639309884,49.63350500991256,397,ok,,3.82255
137,B,5,120,50000.0,0.3,0.6,0.3,0.1,2.0630922853017757,0.26231068894607534,-0.10055243581426454,1.7473948639309884,49.63350500991256,397,ok,,3.949198
138,B,5,120,50000.0,0.35,0.6,0.3,0.1,2.0630922853017757,0.26231068894607534,-0.10055243581426454,1.7473948639309884,49.63350500991256,397,ok,,4.214621
139,B,5,60,0.0,0.25,0.6,0.3,0.1,2.212399322024618,0.2748744449973455,-0.17607108065258004,1.7021632920499856,53.69308605406818,413,ok,,3.848262
140,B,5,60,0.0,0.3,0.6,0.3,0.1,2.212399322024618,0.2748744449973455,-0.17607108065258004,1.7021632920499856,53.69308605406818,413,ok,,4.026473
141,B,5,60,0.0,0.35,0.6,0.3,0.1,2.212399322024618,0.2748744449973455,-0.17607108065258004,1.7021632920499856,53.69308605406818,413,ok,,4.429401
142,B,5,60,50000.0,0.25,0.6,0.3,0.1,2.1655906628110317,0.2709863141390607,-0.15898800719871076,1.6856227737179306,55.31511060801874,415,ok,,4.566605
143,B,5,60,50000.0,0.3,0.6,0.3,0.1,2.1655906628110317,0.2709863141390607,-0.15898800719871076,1.6856227737179306,55.31511060801874,415,ok,,4.178164
144,B,5,60,50000.0,0.35,0.6,0.3,0.1,2.1655906628110317,0.2709863141390607,-0.15898800719871076,1.6856227737179306,55.31511060801874,415,ok,,3.974341
145,B,5,60,10000.0,0.25,0.6,0.3,0.1,2.1307084604010895,0.2680591325253643,-0.17163496811131074,1.6819572081071856,53.75995561910014,412,ok,,4.139934
146,B,5,60,10000.0,0.3,0.6,0.3,0.1,2.1307084604010895,0.2680591325253643,-0.17163496811131074,1.6819572081071856,53.75995561910014,412,ok,,4.056725
147,B,5,60,10000.0,0.35,0.6,0.3,0.1,2.1307084604010895,0.2680591325253643,-0.17163496811131074,1.6819572081071856,53.75995561910014,412,ok,,4.057227
148,B,5,120,10000.0,0.25,0.6,0.3,0.1,1.964416426401446,0.2537386184079493,-0.1670102533635165,1.6809729301479392,48.221892530171964,398,ok,,4.015292
149,B,5,120,10000.0,0.3,0.6,0.3,0.1,1.964416426401446,0.2537386184079493,-0.1670102533635165,1.6809729301479392,48.221892530171964,398,ok,,3.971856
150,B,5,120,10000.0,0.35,0.6,0.3,0.1,1.964416426401446,0.2537386184079493,-0.1670102533635165,1.6809729301479392,48.221892530171964,398,ok,,4.290914
